00	Pips - 0
01	Pips - 1
02	Pips - 2
03	Pips - 3
04	Pips - 4
05	Pips - 5
06	Pips - 6
07	Pips - 7
08	Pips - 8
09	Pips - 9
10	Pips - 10
11	Pips - 11
12	Pips - 12
13	Pips - 13
14	Pips - 14
15	Pips - 15
16	Pips - 16
17	Pips - 17
18	Pips - 18
19	Pips - 19
20	Pips - 20
21	Pips - 21
22	Pips - 22
23	Pips - 23
24	Pips - 24
25	Pips - 25
A0	Pips - Black Large 1
A1	Pips - Red Large 1
A2	Pips - Vertical 2
A3	Pips - Vertical 3
A4	Pips - Red 4
AA	Arrow - 0°
AB	Arrow - 22.5°
AC	Arrow - 30°
AD	Arrow - 45°
AE	Arrow - 60°
AF	Arrow - 67.5°
AG	Arrow - 90°
AH	Arrow - 112.5°
AI	Arrow - 120°
AJ	Arrow - 135°
AK	Arrow - 150°
AL	Arrow - 157.5°
AM	Arrow - 180°
AN	Arrow - 202.5°
AO	Arrow - 210°
AP	Arrow - 225°
AQ	Arrow - 240°
AR	Arrow - 247.5°
AS	Arrow - 270°
AT	Arrow - 292.5°
AU	Arrow - 300°
AV	Arrow - 315°
AW	Arrow - 330°
AX	Arrow - 337.5°
B0	Bamboo Suit
B1	Bamboo - 1
B2	Bamboo - 2
B3	Bamboo - 3
B4	Bamboo - 4
B5	Bamboo - 5
B6	Bamboo - 6
B7	Bamboo - 7
B8	Bamboo - 8
B9	Bamboo - 9
BA	8-Ball - Non-Committal 1
BB	8-Ball - Non-Committal 2
BC	8-Ball - Non-Committal 3
BD	8-Ball - Non-Committal 4
BE	8-Ball - Non-Committal 5
BF	Boolean - Floating
BI	8-Ball - Negative 1
BJ	8-Ball - Negative 2
BK	8-Ball - Negative 3
BL	8-Ball - Negative 4
BM	8-Ball - Negative 5
BN	Boolean - No
BP	Bowling Pin
BQ	8-Ball - Affirmative 1
BR	8-Ball - Affirmative 2
BS	8-Ball - Affirmative 3
BT	8-Ball - Affirmative 4
BU	8-Ball - Affirmative 5
BV	8-Ball - Affirmative 6
BW	8-Ball - Affirmative 7
BX	8-Ball - Affirmative 8
BY	Boolean - Yes
BZ	8-Ball - Affirmative 10
C0	Character Suit
C1	Character - 1
C2	Character - 2
C3	Character - 3
C4	Character - 4
C5	Character - 5
C6	Character - 6
C7	Character - 7
C8	Character - 8
C9	Character - 9
CB	Color - Blue
CC	Color - Cyan
CG	Color - Green
CK	Color - Black
CM	Color - Magenta
CN	Color - Brown
CO	Color - Orange
CR	Color - Red
CV	Color - Violet
CW	Color - White
CX	Color - Gray
CY	Color - Yellow
D0	Dot Suit
D1	Dot - 1
D2	Dot - 2
D3	Dot - 3
D4	Dot - 4
D5	Dot - 5
D6	Dot - 6
D7	Dot - 7
D8	Dot - 8
D9	Dot - 9
DA	Direction - N
DB	Direction - NNE
DC	Direction - NE
DD	Direction - ENE
DE	Direction - E
DF	Direction - ESE
DG	Direction - SE
DH	Direction - SSE
DI	Direction - S
DJ	Direction - SSW
DK	Direction - SW
DL	Direction - WSW
DM	Direction - W
DN	Direction - WNW
DO	Direction - NW
DP	Direction - NNW
DQ	Digraph Qu
DX	dX OED
E0	Exponent - 10⁰ (1)
E1	Exponent - 10¹ (10)
E2	Exponent - 10² (100)
E3	Exponent - 10³ (1,000)
E4	Exponent - 10⁴ (10,000)
E5	Exponent - 10⁵ (100,000)
E6	Exponent - 10⁶ (1,000,000)
E7	Exponent - 10⁷ (10,000,000)
E8	Exponent - 10⁸ (100,000,000)
E9	Exponent - 10⁹ (1,000,000,000)
EA	Equation - Addition
ED	Equation - Division
EE	Equation - Euler Number
EF	Equation - Fibonacci Number
EG	Equation - Greater Than
EH	Equation - Greater Than or Equal
EI	Equation - Imaginary Unit
EK	Equation - Less Than or Equal
EL	Equation - Less Than
EM	Equation - Multiplication
EN	Equation - Not Equal
EP	Equation - Pi
EQ	Equation - Equal
ER	Equation - Remainder
ES	Equation - Subtraction
EX	Equation - Exponentiation
F0	Fruit Machine - Bell
F1	Fruit Machine - Single Bar
F2	Fruit Machine - Double Bar
F3	Fruit Machine - Triple Bar
F4	Fruit Machine - Clover
F5	Fruit Machine - Diamond
F6	Fruit Machine - Horseshoe
F7	Fruit Machine - Single Lucky Seven
F8	Fruit Machine - Double Lucky Seven
F9	Fruit Machine - Triple Lucky Seven
